
. Module name, ATOMS, SHARED ARITHMATIC MODE, COMB ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. xilinx_pulpissimo, 0, 162, 4353, 15572, 5, 12
.	. pulpissimo_Z560, 0, 162, 4353, 15572, 5, 12
.	.	. safe_domain, 0, 0, 0, 0, 0, 0
.	.	.	. pad_control_1s_1s_2s, 0, 0, 0, 0, 0, 0
.	.	. soc_domain_Z559, 0, 162, 4353, 15572, 5, 12
.	.	.	. pulp_soc_Z23, 0, 162, 4353, 15572, 5, 12
.	.	.	.	. apb2per_32s_32s, 0, 0, 0, 1, 0, 0
.	.	.	.	. dm_top_1024s_32s_Z556, 0, 0, 0, 585, 0, 0
.	.	.	.	.	. dm_csrs_1024s_32s_10s_6_40_Z554, 0, 0, 0, 576, 0, 0
.	.	.	.	.	.	. fifo_v2__internal_typedef_45_324_0_32s_2s_1s_1s_1s, 0, 0, 0, 60, 0, 0
.	.	.	.	.	.	.	. fifo_v3__internal_typedef_45_325_0_32s_2s_1s_2s, 0, 0, 0, 60, 0, 0
.	.	.	.	.	. dm_mem_Z555, 0, 0, 0, 4, 0, 0
.	.	.	.	.	. dm_sba_32s, 0, 0, 0, 5, 0, 0
.	.	.	.	. dmi_jtag_613749187, 0, 0, 0, 247, 0, 0
.	.	.	.	.	. dmi_cdc, 0, 0, 0, 142, 0, 0
.	.	.	.	.	.	. cdc_2phase__internal_typedef_46_318__internal_typedef_46, 0, 0, 0, 79, 0, 0
.	.	.	.	.	.	.	. cdc_2phase_dst__internal_typedef_46_320__internal_typedef_46, 0, 0, 0, 41, 0, 0
.	.	.	.	.	.	.	. cdc_2phase_src__internal_typedef_46_319__internal_typedef_46, 0, 0, 0, 38, 0, 0
.	.	.	.	.	.	. cdc_2phase__internal_typedef_47_321__internal_typedef_47, 0, 0, 0, 63, 0, 0
.	.	.	.	.	.	.	. cdc_2phase_dst__internal_typedef_47_323__internal_typedef_47, 0, 0, 0, 32, 0, 0
.	.	.	.	.	.	.	. cdc_2phase_src__internal_typedef_47_322__internal_typedef_47, 0, 0, 0, 31, 0, 0
.	.	.	.	.	. dmi_jtag_tap_5s_613749187, 0, 0, 0, 35, 0, 0
.	.	.	.	. edge_propagator_rx, 0, 0, 0, 3, 0, 0
.	.	.	.	.	. pulp_sync_wedge, 0, 0, 0, 3, 0, 0
.	.	.	.	.	.	. pulp_sync_2s, 0, 0, 0, 2, 0, 0
.	.	.	.	. fc_subsystem_Z88, 0, 130, 2609, 4823, 0, 10
.	.	.	.	.	. apb_interrupt_cntrl_32s_8s_1s_Z87, 0, 0, 0, 70, 0, 0
.	.	.	.	.	.	. generic_fifo_8s_4s_2s, 0, 0, 0, 6, 0, 0
.	.	.	.	.	. riscv_core_Z107, 0, 130, 2609, 4753, 0, 10
.	.	.	.	.	.	. riscv_cs_registers_Z106, 0, 0, 32, 992, 0, 0
.	.	.	.	.	.	. riscv_ex_stage_1s_1s_0s_0s_0s_3s_6s_15s_5s, 0, 130, 891, 517, 0, 10
.	.	.	.	.	.	.	. fpnew_top_32_3s_4s_5s_Z95, 0, 32, 711, 380, 0, 1
.	.	.	.	.	.	.	.	. fpnew_opgroup_block_Z101, 0, 0, 33, 0, 0, 0
.	.	.	.	.	.	.	.	.	. fpnew_opgroup_fmt_slice_Z102, 0, 0, 33, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	. fpnew_noncomp_0_0_1_32_8_23_0_0, 0, 0, 33, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. fpnew_classifier_0_2s_32_8_23, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. fpnew_opgroup_block_Z103, 0, 9, 130, 0, 0, 0
.	.	.	.	.	.	.	.	.	. fpnew_opgroup_multifmt_slice_Z104, 0, 9, 130, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	. fpnew_cast_multi__gen2_15_Z105, 0, 9, 130, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. fpnew_classifier_0_1s_32_8_23, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. fpnew_rounding_32s, 0, 0, 32, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. lzc_32s_18446744073709551615s_5, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. fpnew_opgroup_block_Z96, 0, 10, 245, 0, 0, 1
.	.	.	.	.	.	.	.	.	. fpnew_opgroup_multifmt_slice_Z97, 0, 10, 245, 0, 0, 1
.	.	.	.	.	.	.	.	.	.	. fpnew_fma_multi__gen0_10_Z98, 0, 10, 245, 0, 0, 1
.	.	.	.	.	.	.	.	.	.	.	. fpnew_classifier_0_3s_32_8_23, 0, 0, 10, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. fpnew_rounding_31, 0, 0, 30, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. lzc_51_18446744073709551615s_6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. fpnew_opgroup_block_Z99, 0, 13, 303, 378, 0, 0
.	.	.	.	.	.	.	.	.	. fpnew_opgroup_multifmt_slice_Z100, 0, 13, 303, 378, 0, 0
.	.	.	.	.	.	.	.	.	.	. fpnew_divsqrt_multi__gen1_12_16_1_1_32_5s_0_1, 0, 13, 303, 378, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. div_sqrt_top_mvp, 0, 13, 303, 293, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	. norm_div_sqrt_mvp, 0, 0, 81, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	. nrbd_nrsc_mvp, 0, 13, 178, 151, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	.	. control_mvp, 0, 13, 178, 151, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	. iteration_div_sqrt_mvp_58s, 0, 0, 59, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	. iteration_div_sqrt_mvp_58s_0, 0, 0, 59, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	.	.	. iteration_div_sqrt_mvp_58s_2, 0, 0, 60, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	. preprocess_mvp, 0, 0, 44, 142, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	.	. lzc_53s_18446744073709551615s_6, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	.	.	.	.	.	. lzc_53s_18446744073709551615s_6_0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. rr_arb_tree_output_t_8_4s_32s_0_1_0_1_2__internal_typedef_62, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	. riscv_alu_0s_1s, 0, 0, 166, 108, 0, 0
.	.	.	.	.	.	.	.	. alu_ff, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. riscv_alu_div, 0, 0, 97, 108, 0, 0
.	.	.	.	.	.	.	. riscv_apu_disp, 0, 0, 0, 16, 0, 0
.	.	.	.	.	.	.	. riscv_mult_0s, 0, 98, 14, 6, 0, 9
.	.	.	.	.	.	. riscv_id_stage_Z94, 0, 0, 159, 2796, 0, 0
.	.	.	.	.	.	.	. register_file_test_wrap_6s_32s_1s_0s, 0, 0, 0, 2016, 0, 0
.	.	.	.	.	.	.	.	. riscv_register_file_6s_32s_1s_0s_32s_32s_64s, 0, 0, 0, 2016, 0, 0
.	.	.	.	.	.	.	. riscv_controller_1s, 0, 0, 0, 10, 0, 0
.	.	.	.	.	.	.	. riscv_decoder_Z93, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. riscv_hwloop_regs_2s_1s, 0, 0, 64, 192, 0, 0
.	.	.	.	.	.	.	. riscv_int_controller_1s, 0, 0, 0, 7, 0, 0
.	.	.	.	.	.	. riscv_if_stage_2s_32s_1s_437323776, 0, 0, 87, 407, 0, 0
.	.	.	.	.	.	.	. riscv_compressed_decoder_1s, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. riscv_hwloop_controller_2s, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. riscv_prefetch_buffer, 0, 0, 58, 271, 0, 0
.	.	.	.	.	.	.	.	. riscv_fetch_fifo, 0, 0, 29, 198, 0, 0
.	.	.	.	.	.	. riscv_load_store_unit, 0, 0, 32, 40, 0, 0
.	.	.	.	.	.	. riscv_pmp_16s, 0, 0, 1408, 1, 0, 0
.	.	.	.	. jtag_tap_top, 0, 0, 0, 91, 0, 0
.	.	.	.	.	. jtagreg_9s_0s, 0, 0, 0, 9, 0, 0
.	.	.	.	.	.	. bscell, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_0, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_1, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_2, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_3, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_4, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_5, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_6, 0, 0, 0, 1, 0, 0
.	.	.	.	.	.	. bscell_8, 0, 0, 0, 1, 0, 0
.	.	.	.	.	. tap_top, 0, 0, 0, 66, 0, 0
.	.	.	.	. lint_jtag_wrap_32s_32s_Z557, 0, 0, 0, 106, 0, 0
.	.	.	.	.	. adbg_lintonly_top_32s_32s_6s, 0, 0, 0, 106, 0, 0
.	.	.	.	.	.	. adbg_lint_module_32s_32s_6s, 0, 0, 0, 96, 0, 0
.	.	.	.	. soc_clk_rst_gen, 0, 0, 0, 5, 0, 0
.	.	.	.	.	. rstgen, 0, 0, 0, 5, 0, 0
.	.	.	.	.	.	. rstgen_bypass, 0, 0, 0, 5, 0, 0
.	.	.	.	. soc_interconnect_wrap_Z114, 0, 0, 188, 2066, 0, 0
.	.	.	.	.	. axi_lite_to_apb_intf_addr_map_rule_t_311_1s_1s_32s_32s_1s_Z543, 0, 0, 0, 141, 0, 0
.	.	.	.	.	.	. axi_lite_to_apb_axi_req_t_axi_resp_t_apb_req_t_apb_resp_t_addr_map_rule_t_312_Z542, 0, 0, 0, 141, 0, 0
.	.	.	.	.	.	.	. addr_decode_addr_t_addr_map_rule_t_317_1s_1s_1__internal_typedef_263, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	. rr_arb_tree_int_req_t_313_2_32s_0_1_1_1_1__internal_typedef_262, 0, 0, 0, 4, 0, 0
.	.	.	.	.	.	.	. spill_register__internal_typedef_260_315_0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	. spill_register_int_req_t_314_0, 0, 0, 0, 132, 0, 0
.	.	.	.	.	.	.	. spill_register_int_resp_t_316_0, 0, 0, 0, 2, 0, 0
.	.	.	.	.	. axi_to_axi_lite_intf_32s_32s_5s_6s_1s_1s_18446744073709551615s_Z541, 0, 0, 107, 451, 0, 0
.	.	.	.	.	.	. axi_to_axi_lite_full_req_t_full_resp_t_lite_req_t_lite_resp_t_284_Z540, 0, 0, 107, 451, 0, 0
.	.	.	.	.	.	.	. axi_atop_filter_full_req_t_full_resp_t_285_5s_1s_2s, 0, 0, 9, 34, 0, 0
.	.	.	.	.	.	.	.	. stream_register_r_resp_cmd_t_286_r_resp_cmd_t, 0, 0, 0, 10, 0, 0
.	.	.	.	.	.	.	.	.	. fifo_v2_r_resp_cmd_t_287_0_8s_1s_1s_1s_1s, 0, 0, 0, 10, 0, 0
.	.	.	.	.	.	.	.	.	.	. fifo_v3_r_resp_cmd_t_288_0_8s_1s_1s_1s, 0, 0, 0, 10, 0, 0
.	.	.	.	.	.	.	. axi_burst_splitter_full_req_t_full_resp_t_289_1s_1s_32s_32s_5s_6s_1s, 0, 0, 98, 403, 0, 0
.	.	.	.	.	.	.	.	. axi_burst_splitter_ax_chan_ar_chan_t_307_5s_1s__internal_typedef_253, 0, 0, 49, 71, 0, 0
.	.	.	.	.	.	.	.	.	. axi_burst_splitter_counters_1s_5s_1_1, 0, 0, 9, 20, 0, 0
.	.	.	.	.	.	.	.	.	.	. counter_9s_0_0, 0, 0, 9, 9, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. delta_counter_9s_0_0, 0, 0, 9, 9, 0, 0
.	.	.	.	.	.	.	.	.	.	. id_queue_cnt_idx_t_306_5s_1s_32s_1s_1s_1s_2_0, 0, 0, 0, 11, 0, 0
.	.	.	.	.	.	.	.	. axi_burst_splitter_ax_chan_aw_chan_t_305_5s_1s__internal_typedef_250, 0, 0, 49, 71, 0, 0
.	.	.	.	.	.	.	.	.	. axi_burst_splitter_counters_1s_5s_1_0, 0, 0, 9, 20, 0, 0
.	.	.	.	.	.	.	.	.	.	. counter_9s_0, 0, 0, 9, 9, 0, 0
.	.	.	.	.	.	.	.	.	.	.	. delta_counter_9s_0, 0, 0, 9, 9, 0, 0
.	.	.	.	.	.	.	.	.	.	. id_queue_cnt_idx_t_306_5s_1s_32s_1s_1s_1s_2, 0, 0, 0, 11, 0, 0
.	.	.	.	.	.	.	.	. axi_demux_aw_chan_t_w_chan_t_b_chan_t_ar_chan_t_r_chan_t_full_req_t_full_resp_t_290_Z538, 0, 0, 0, 205, 0, 0
.	.	.	.	.	.	.	.	.	. axi_demux_id_counters__gen487_292_5s_1s_32s, 0, 0, 0, 96, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_53, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_54, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_55, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_56, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_57, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_58, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_59, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_60, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_61, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_62, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_63, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_64, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_65, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_66, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_67, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_68, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_69, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_70, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_71, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_72, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_73, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_74, 0, 0, 0, 2, 0, 0
.	.	.	.	.	.	.	.	.	.	. delta_counter_1s_0_75, 0, 0, 0, 2, 0, 0
